row_id,timestamp,close,return,anomaly_zscore,anomaly_kmeans,anomaly_rf,anomaly_gmm,votes,final_label
466,2026-01-06T15:00:00.000Z,93648.99,-0.20015599422017472,0,0,0,0,0,Normal
467,2026-01-06T16:00:00.000Z,92692.32,-1.0215486573854071,0,0,0,0,0,Normal
468,2026-01-06T17:00:00.000Z,91589.24,-1.1900446552637778,1,0,0,0,1,Normal
469,2026-01-06T18:00:00.000Z,92034.09,0.4857011587823923,0,0,0,0,0,Normal
470,2026-01-06T19:00:00.000Z,92104.5,0.07650426054084392,0,0,0,0,0,Normal
471,2026-01-06T20:00:00.000Z,92505.32,0.43517960577388326,0,0,0,0,0,Normal
472,2026-01-06T21:00:00.000Z,93258.05,0.8137153625326521,0,0,0,0,0,Normal
473,2026-01-06T22:00:00.000Z,93362.68,0.11219406796516562,0,0,0,0,0,Normal
474,2026-01-06T23:00:00.000Z,93747.97,0.4126809556024069,0,0,0,0,0,Normal
475,2026-01-07T00:00:00.000Z,92709.52,-1.1077039854836324,0,0,0,0,0,Normal
476,2026-01-07T01:00:00.000Z,92435.35,-0.2957301472383822,0,0,0,0,0,Normal
477,2026-01-07T02:00:00.000Z,92949.77,0.5565186911717257,0,0,0,1,1,Normal
478,2026-01-07T03:00:00.000Z,92815.83,-0.14409933451153822,0,0,0,0,0,Normal
479,2026-01-07T04:00:00.000Z,92670.29,-0.15680514843212645,0,0,0,0,0,Normal
480,2026-01-07T05:00:00.000Z,92529.54,-0.15188255049164434,0,0,0,0,0,Normal
481,2026-01-07T06:00:00.000Z,92614.84,0.09218677624465155,0,0,0,0,0,Normal
482,2026-01-07T07:00:00.000Z,92879.13,0.28536463486845687,0,0,0,0,0,Normal
483,2026-01-07T08:00:00.000Z,92718.9,-0.17251453582738385,0,0,0,0,0,Normal
484,2026-01-07T09:00:00.000Z,91716.14,-1.0815054967218019,1,0,0,0,1,Normal
485,2026-01-07T10:00:00.000Z,91975.31,0.2825783989600872,0,0,0,0,0,Normal
486,2026-01-07T11:00:00.000Z,92087.21,0.1216630854519618,0,0,0,0,0,Normal
487,2026-01-07T12:00:00.000Z,91997.86,-0.09702758939054146,0,0,0,0,0,Normal
488,2026-01-07T13:00:00.000Z,92044.67,0.05088161833328719,0,0,0,0,0,Normal
489,2026-01-07T14:00:00.000Z,91959.04,-0.09303091640179284,0,0,0,0,0,Normal
490,2026-01-07T15:00:00.000Z,91349.96,-0.662338362818915,0,0,0,0,0,Normal
491,2026-01-07T16:00:00.000Z,91264.54,-0.09350852479849125,0,0,0,0,0,Normal
492,2026-01-07T17:00:00.000Z,91252.14,-0.013586876129534353,0,0,0,0,0,Normal
493,2026-01-07T18:00:00.000Z,90901.39,-0.3843745472708937,0,0,0,0,0,Normal
494,2026-01-07T19:00:00.000Z,91186.07,0.3131745290143595,0,0,0,0,0,Normal
495,2026-01-07T20:00:00.000Z,91047.49,-0.15197496722909598,0,0,0,0,0,Normal
496,2026-01-07T21:00:00.000Z,91089.5,0.04614075577480392,0,0,0,0,0,Normal
497,2026-01-07T22:00:00.000Z,91180.85,0.10028598246780707,0,0,0,0,0,Normal
498,2026-01-07T23:00:00.000Z,91364.16,0.20104002101317686,0,0,0,0,0,Normal
499,2026-01-08T00:00:00.000Z,91394.71,0.03343761930281186,0,0,0,0,0,Normal
500,2026-01-08T01:00:00.000Z,91428.4,0.036862089720490765,0,0,0,0,0,Normal
501,2026-01-08T02:00:00.000Z,90956.49,-0.5161525302859848,0,0,0,0,0,Normal
502,2026-01-08T03:00:00.000Z,90813.4,-0.15731697650163134,0,0,0,0,0,Normal
503,2026-01-08T04:00:00.000Z,91022.75,0.23052765340798587,0,0,0,0,0,Normal
504,2026-01-08T05:00:00.000Z,90829.58,-0.21222166985725988,0,0,0,0,0,Normal
505,2026-01-08T06:00:00.000Z,89898.01,-1.025624031290251,1,0,0,0,1,Normal
506,2026-01-08T07:00:00.000Z,90548.02,0.7230527127352504,0,0,0,0,0,Normal
507,2026-01-08T08:00:00.000Z,90227.25,-0.35425401902769993,0,0,0,1,1,Normal
508,2026-01-08T09:00:00.000Z,90010.0,-0.24078091707327998,0,0,0,0,0,Normal
509,2026-01-08T10:00:00.000Z,90410.1,0.444506165981573,0,0,0,0,0,Normal
510,2026-01-08T11:00:00.000Z,90226.77,-0.2027760172812587,0,0,0,0,0,Normal
511,2026-01-08T12:00:00.000Z,89989.21,-0.2632921471088845,0,0,0,0,0,Normal
512,2026-01-08T13:00:00.000Z,89962.14,-0.030081384201519068,0,0,0,0,0,Normal
513,2026-01-08T14:00:00.000Z,90024.01,0.06877337511090875,0,0,0,0,0,Normal
514,2026-01-08T15:00:00.000Z,90781.57,0.8415088374757129,0,0,0,0,0,Normal
515,2026-01-08T16:00:00.000Z,90926.84,0.1600214669122746,0,0,0,0,0,Normal
516,2026-01-08T17:00:00.000Z,91366.39,0.4834106189107734,0,0,0,0,0,Normal
517,2026-01-08T18:00:00.000Z,91117.35,-0.272572879370625,0,0,0,0,0,Normal
518,2026-01-08T19:00:00.000Z,90937.41,-0.197481599278293,0,0,0,0,0,Normal
519,2026-01-08T20:00:00.000Z,90927.62,-0.010765646393495754,0,0,0,0,0,Normal
520,2026-01-08T21:00:00.000Z,91272.96,0.3797965898590716,0,0,0,0,0,Normal
